Date,Close
1/2/2019,267.660004
1/3/2019,271.200012
1/4/2019,297.570007
1/7/2019,315.339996
1/8/2019,320.269989
1/9/2019,319.959991
1/10/2019,324.660004
1/11/2019,337.589996
1/14/2019,332.940002
1/15/2019,354.640015
1/16/2019,351.390015
1/17/2019,353.190002
1/18/2019,339.100006
1/22/2019,325.160004
1/23/2019,321.98999
1/24/2019,326.670013
1/25/2019,338.049988
1/28/2019,335.660004
1/29/2019,328.899994
1/30/2019,340.660004
1/31/2019,339.5
2/1/2019,339.850006
2/4/2019,351.339996
2/5/2019,355.809998
2/6/2019,352.190002
2/7/2019,344.709991
2/8/2019,347.570007
2/11/2019,345.730011
2/12/2019,359.970001
2/13/2019,351.769989
2/14/2019,359.070007
2/15/2019,356.869995
2/19/2019,361.920013
2/20/2019,359.910004
2/21/2019,356.970001
2/22/2019,363.019989
2/25/2019,363.910004
2/26/2019,364.970001
2/27/2019,362.869995
2/28/2019,358.100006
3/1/2019,357.320007
3/4/2019,351.040009
3/5/2019,354.299988
3/6/2019,359.609985
3/7/2019,352.600006
3/8/2019,349.600006
3/11/2019,358.859985
3/12/2019,356.269989
3/13/2019,361.209991
3/14/2019,358.820007
3/15/2019,361.459991
3/18/2019,363.440002
3/19/2019,358.779999
3/20/2019,375.220001
3/21/2019,377.869995
3/22/2019,361.01001
3/25/2019,366.230011
3/26/2019,359.970001
3/27/2019,353.369995
3/28/2019,354.609985
3/29/2019,356.559998
4/1/2019,366.959991
4/2/2019,367.720001
4/3/2019,369.75
4/4/2019,367.880005
4/5/2019,365.48999
4/8/2019,361.410004
4/9/2019,364.709991
4/10/2019,363.920013
4/11/2019,367.649994
4/12/2019,351.140015
4/15/2019,348.869995
4/16/2019,359.459991
4/17/2019,354.73999
4/18/2019,360.350006
4/22/2019,377.339996
4/23/2019,381.890015
4/24/2019,374.230011
4/25/2019,368.329987
4/26/2019,374.850006
4/29/2019,371.829987
4/30/2019,370.540009
5/1/2019,378.809998
5/2/2019,379.059998
5/3/2019,385.029999
5/6/2019,378.670013
5/7/2019,370.459991
5/8/2019,364.369995
5/9/2019,362.75
5/10/2019,361.040009
5/13/2019,345.26001
5/14/2019,345.609985
5/15/2019,354.98999
5/16/2019,359.309998
5/17/2019,354.450012
5/20/2019,348.109985
5/21/2019,354.269989
5/22/2019,359.730011
5/23/2019,352.209991
5/24/2019,354.390015
5/28/2019,355.059998
5/29/2019,349.190002
5/30/2019,351.850006
5/31/2019,343.279999
6/3/2019,336.630005
6/4/2019,353.399994
6/5/2019,355.730011
6/6/2019,357.130005
6/7/2019,360.869995
6/10/2019,352.01001
6/11/2019,351.269989
6/12/2019,345.559998
6/13/2019,343.429993
6/14/2019,339.730011
6/17/2019,350.619995
6/18/2019,357.119995
6/19/2019,363.519989
6/20/2019,365.209991
6/21/2019,369.209991
6/24/2019,371.040009
6/25/2019,360.299988
6/26/2019,362.200012
6/27/2019,370.019989
6/28/2019,367.320007
7/1/2019,374.600006
7/2/2019,375.429993
7/3/2019,381.720001
7/5/2019,380.549988
7/8/2019,376.160004
7/9/2019,379.929993
7/10/2019,381
7/11/2019,379.5
7/12/2019,373.25
7/15/2019,366.600006
7/16/2019,365.98999
7/17/2019,362.440002
7/18/2019,325.209991
7/19/2019,315.100006
7/22/2019,310.619995
7/23/2019,307.299988
7/24/2019,317.940002
7/25/2019,326.459991
7/26/2019,335.779999
7/29/2019,332.700012
7/30/2019,325.929993
7/31/2019,322.98999
8/1/2019,319.5
8/2/2019,318.829987
8/5/2019,307.630005
8/6/2019,310.100006
8/7/2019,304.290009
8/8/2019,315.899994
8/9/2019,308.929993
8/12/2019,310.829987
8/13/2019,312.279999
8/14/2019,299.109985
8/15/2019,295.76001
8/16/2019,302.799988
8/19/2019,309.380005
8/20/2019,298.98999
8/21/2019,297.809998
8/22/2019,296.929993
8/23/2019,291.440002
8/26/2019,294.980011
8/27/2019,291.029999
8/28/2019,291.769989
8/29/2019,296.779999
8/30/2019,293.75
9/3/2019,289.290009
9/4/2019,291.519989
9/5/2019,293.25
9/6/2019,290.170013
9/9/2019,294.339996
9/10/2019,287.98999
9/11/2019,288.269989
9/12/2019,288.859985
9/13/2019,294.149994
9/16/2019,294.290009
9/17/2019,298.600006
9/18/2019,291.559998
9/19/2019,286.600006
9/20/2019,270.75
9/23/2019,265.920013
9/24/2019,254.589996
9/25/2019,264.75
9/26/2019,263.309998
9/27/2019,263.079987
9/30/2019,267.619995
10/1/2019,269.579987
10/2/2019,268.029999
10/3/2019,268.149994
10/4/2019,272.790009
10/7/2019,274.459991
10/8/2019,270.720001
10/9/2019,267.529999
10/10/2019,280.480011
10/11/2019,282.929993
10/14/2019,285.529999
10/15/2019,284.25
10/16/2019,286.279999
10/17/2019,293.350006
10/18/2019,275.299988
10/21/2019,278.049988
10/22/2019,266.690002
10/23/2019,271.269989
10/24/2019,271.5
10/25/2019,276.820007
10/28/2019,281.859985
10/29/2019,281.209991
10/30/2019,291.450012
10/31/2019,287.410004
11/1/2019,286.809998
11/4/2019,292.859985
11/5/2019,288.029999
11/6/2019,288.589996
11/7/2019,289.570007
11/8/2019,291.570007
11/11/2019,294.179993
11/12/2019,292.01001
11/13/2019,283.109985
11/14/2019,289.619995
11/15/2019,295.029999
11/18/2019,302.570007
11/19/2019,302.600006
11/20/2019,305.160004
11/21/2019,311.690002
11/22/2019,310.480011
11/25/2019,315.549988
11/26/2019,312.48999
11/27/2019,315.929993
11/29/2019,314.660004
12/2/2019,309.98999
12/3/2019,306.160004
12/4/2019,304.320007
12/5/2019,302.859985
12/6/2019,307.350006
12/9/2019,302.5
12/10/2019,293.119995
12/11/2019,298.929993
12/12/2019,298.440002
